PROD_CLR_EQUIV,SALES_QTY,SALES_AMT_FX_RATE
217399_SV,7552.0,40622.7751
218129_BG,5714.0,69908.4383
212226_WT,229.0,5674.5937
224206_BK,149.0,4064.5939
223874_BK,34.0,2849.1617
222929_GD,356.0,14014.2185
212746_BL,1706.0,22164.2927
221724_BM,5221.0,135393.3331
216622_BM,3406.0,71261.6482
224442_NM,171.0,3981.5677
207791_FU,4653.0,23309.0533
222707_RD,232.0,7709.4654
224939_WT,2508.0,80872.1146
221617_HM,1746.0,12361.9055
223860_SV,320.0,2196.4426
208072_PK,2952.0,29209.1512
208053_OR,1037.0,15993.0028
218952_BL,5026.0,29180.8762
220904_BU,773.0,33171.8661
216099_EC,6202.0,100308.6981
214422_BK,191.0,2783.7929
219964_RD,395.0,9045.8468
212712_BK,4687.0,123815.2989
209024_TU,6775.0,163770.6776
214169_HM,325.0,2302.8095
219664_BM,2373.0,88264.0654
221729_GN,1.0,18.6911
226416_AN,143.0,3662.6113
217480_MV,49.0,361.413
217427_HM,3910.0,33909.666
225872_EC,5.0,150.4803
211559_BM,5462.0,149686.6362
212629_KK,381.0,9886.5811
217956_KK,6553.0,114640.512
211553_BL,4337.0,33155.3908
211312_GY,6194.0,181521.1771
217249_BM,2885.0,80501.1105
211429_TU,5559.0,130288.3125
218552_GD,2191.0,13194.1369
212413_SV,442.0,11573.4123
218906_HM,5383.0,28631.6955
217645_TL,422.0,3594.5561
226801_BN,69.0,1841.7061
213193_PK,2495.0,40890.4258
216117_GD,4261.0,17257.332
228012_PE,301.0,1528.8988
224489_WT,169.0,4395.7746
216017_GY,135.0,3212.6479
221238_BM,5340.0,54801.5012
218866_BL,4921.0,19441.5654
214161_BM,364.0,3516.3908
222692_WT,152.0,4025.932
217543_SV,2916.0,18350.3544
218633_BM,2399.0,64941.451
211207_HM,5461.0,26668.5706
221105_GD,4113.0,23248.5985
217538_SV,2833.0,20288.0952
216943_BM,4564.0,121213.0916
208692_GN,2814.0,53171.6934
209423_GD,6653.0,34011.086
211358_YL,30.0,361.5346
216762_BK,273.0,11334.0711
209934_SV,2312.0,10324.2331
206301_HM,4891.0,44391.1728
151833_PP,1773.0,20183.41
